OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-31559,2024-060L,2026-03-14T17:16:17.009184,15.27579942,.00010641,42.9990,231.3156,277.3462,82.7269,0,U,59358,999,11083,.57964121E-4,.1333E-4,0
STARLINK-31501,2024-060M,2026-03-14T19:31:06.724992,15.27601676,.00011456,43.0030,231.1624,269.2915,90.7805,0,U,59359,999,11084,.10419959E-3,.2608E-4,0
STARLINK-31549,2024-060N,2026-03-14T12:17:09.649536,15.27579157,.00019517,43.0028,232.3391,275.1033,84.9595,0,U,59360,999,11080,.31817005E-4,.613E-5,0
STARLINK-31560,2024-060P,2026-03-14T19:21:53.318304,15.27596186,.0001369,43.0002,231.1076,274.6201,85.4494,0,U,59361,999,11084,.23504593E-3,.6214E-4,0
STARLINK-31571,2024-060Q,2026-03-14T19:25:34.336416,15.27597854,.00019689,43.0038,231.1273,279.3635,80.6995,0,U,59362,999,11084,.99014335E-4,.2465E-4,0
STARLINK-31553,2024-060R,2026-03-14T11:19:33.358368,15.27572567,.00015152,43.0042,225.9620,276.0006,84.0673,0,U,59363,999,11087,.17714684E-4,.225E-5,0
STARLINK-31547,2024-060S,2026-03-14T18:52:18.503328,15.27585495,.00011649,43.0027,219.7133,275.1490,84.9229,0,U,59364,999,11097,.68946211E-4,.1636E-4,0
STARLINK-31537,2024-060T,2026-03-14T19:36:41.471424,15.27592193,.00014268,43.0032,231.1861,274.2649,85.8040,0,U,59365,999,11084,.1798641E-3,.4692E-4,0
STARLINK-31451,2024-060U,2026-03-14T10:37:27.481152,15.27578777,.00021279,43.0039,232.6798,291.5810,68.4815,0,U,59366,999,11079,.4489168E-4,.973E-5,0
STARLINK-31428,2024-060V,2026-03-14T17:10:43.363488,15.27586399,.00015004,43.0002,231.2846,254.9797,105.0889,0,U,59367,999,11083,.78184738E-4,.189E-4,0
