OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1536,2020-055AV,2026-03-14T09:27:53.775360,15.06405401,.0001261,53.0558,75.4980,90.1903,269.9231,0,U,46070,999,31002,.12336092E-3,.1557E-4,0
STARLINK-1542,2020-055AY,2026-03-14T17:15:00.984096,15.06390373,.0001338,53.0554,74.0408,89.0538,271.0604,0,U,46073,999,31006,.2150869E-4,.39E-6,0
STARLINK-1549,2020-055AZ,2026-03-14T16:53:46.857120,15.06408233,.0001269,53.0548,74.1092,90.8210,269.2925,0,U,46074,999,31005,.24195204E-3,.3325E-4,0
STARLINK-1551,2020-055BA,2026-03-14T17:30:53.999424,15.06412650,.00015637,53.0577,73.9919,85.8453,274.2715,0,U,46075,999,31006,.11095396E-3,.1372E-4,0
STARLINK-1552,2020-055BB,2026-03-14T16:32:31.778880,15.06407090,.00013639,53.0545,74.1727,74.6199,285.4941,0,U,46076,999,31004,.4403757E-4,.375E-5,0
STARLINK-1559,2020-055BC,2026-03-14T22:00:54.050400,15.30158944,.00047366,53.0274,49.6009,55.5138,304.6308,0,U,46077,999,31038,.18823554E-2,.55757E-3,0
STARLINK-1566,2020-055BE,2026-03-14T07:25:51.690720,15.06383916,.00013197,53.0553,75.8802,96.0974,264.0165,0,U,46079,999,31000,.19388012E-3,.2606E-4,0
STARLINK-1568,2020-055BF,2026-03-14T12:48:32.800608,15.46968259,.00063095,53.0633,9.8500,130.9785,229.1768,0,U,46080,999,31094,.97252853E-3,.49762E-3,0
STARLINK-1578,2020-055BH,2026-03-14T09:22:37.210080,15.06390159,.0001265,53.0557,75.5143,88.6559,271.4575,0,U,46082,999,31001,.7970267E-5,-.163E-5,0
STARLINK-1579,2020-055BJ,2026-03-14T07:03:13.787712,15.06388092,.00012466,53.0552,75.9402,89.8405,270.2727,0,U,46083,999,30999,.50184738E-4,.466E-5,0
BSAT-4B,2020-056A,2026-03-14T22:09:02.137824,1.00270726,.00021452,0.0304,159.6029,284.3516,170.6646,0,U,46112,999,2044,0,-.351E-5,0
MEV-2,2020-056B,2026-03-14T22:11:49.337376,1.00270789,.00013091,0.0224,119.2014,292.1451,93.1527,0,U,46113,999,7956,0,-.12E-6,0
GALAXY 30 (G-30),2020-056C,2026-03-14T16:28:18.306336,1.00270004,.00020135,0.0264,153.2110,213.9429,287.2274,0,U,46114,999,2034,0,0,0
STARLINK-1585,2020-057A,2026-03-15T00:00:02.000160,15.86951336,.00022685,53.0385,220.1690,321.5020,63.5620,0,U,46117,999,598,.14321694E-2,.394076E-2,0
STARLINK-1593,2020-057C,2026-03-15T00:00:02.000160,15.76497192,.00009214,53.0417,243.9032,213.1335,148.3412,0,U,46119,999,597,.10450822E-2,.172141E-2,0
STARLINK-1621,2020-057L,2026-03-15T00:00:02.000160,15.79491376,.00054768,53.0437,217.0802,284.0774,95.6226,0,U,46127,999,603,.10353637E-2,.195723E-2,0
STARLINK-1622,2020-057M,2026-03-14T17:50:48.236640,15.65280092,.00032501,53.0224,199.3887,212.6953,147.3860,0,U,46128,999,30815,.11036392E-2,.112674E-2,0
STARLINK-1623,2020-057N,2026-03-15T00:00:02.000160,15.53783016,.00052814,53.0482,230.3722,193.8928,291.7365,0,U,46129,999,601,.19978742E-2,.132205E-2,0
STARLINK-1624,2020-057P,2026-03-15T00:00:02.000160,15.69670150,.00061089,53.0417,206.1174,339.1748,341.6046,0,U,46130,999,600,.89237877E-3,.108871E-2,0
STARLINK-1625,2020-057Q,2026-03-15T00:00:02.000160,15.87357175,.00060214,53.0432,221.2760,278.6410,209.1704,0,U,46131,999,604,.13422461E-2,.376228E-2,0
STARLINK-1596,2020-057AA,2026-03-14T15:56:04.912800,15.45595283,.00020744,53.0409,207.0983,189.4095,170.6872,0,U,46141,999,30804,.21682203E-2,.107055E-2,0
STARLINK-1597,2020-057AB,2026-03-14T20:21:54.112608,15.57185162,.00067692,53.0487,271.8442,169.1089,191.0070,0,U,46142,999,30714,.11352893E-2,.84491E-3,0
STARLINK-1606,2020-057AD,2026-03-14T19:08:48.377760,15.65567424,.00013007,53.0437,231.3659,302.5273,57.5616,0,U,46144,999,29596,.12948433E-2,.134153E-2,0
STARLINK-1608,2020-057AF,2026-03-14T20:50:52.528128,15.30223746,.00009201,53.1567,285.2435,89.7105,270.4002,0,U,46146,999,30697,.2780566E-3,.7891E-4,0
STARLINK-1667,2020-057AQ,2026-03-14T17:32:50.109792,15.65648721,.00030664,53.0228,200.0270,199.7807,160.3089,0,U,46155,999,30938,.12065735E-2,.125258E-2,0
STARLINK-1545,2020-057AR,2026-03-15T00:00:02.000160,15.63040936,.00025069,53.0432,232.4929,350.8977,101.9315,0,U,46156,999,599,.17098317E-2,.160972E-2,0
STARLINK-1587,2020-057AS,2026-03-14T23:46:03.476928,16.05054201,.0008655,53.0281,188.8638,329.4264,30.6262,0,U,46157,999,30832,.16981E-2,.1192675E-1,.81266E-3
STARLINK-1595,2020-057AU,2026-03-14T20:01:11.608896,15.51284234,.00055339,53.0492,271.9564,142.8233,217.3159,0,U,46159,999,30840,.17555748E-2,.105741E-2,0
STARLINK-1598,2020-057AV,2026-03-14T19:28:32.618496,15.52359265,.00038279,53.0508,258.9639,238.8697,121.1937,0,U,46160,999,30857,.19122579E-2,.11994E-2,0
STARLINK-1612,2020-057AZ,2026-03-15T00:00:02.000160,15.83351712,.00048681,53.0324,185.1129,307.2690,292.5563,0,U,46164,999,603,.10933638E-2,.248748E-2,0
STARLINK-1626,2020-057BC,2026-03-15T00:00:02.000160,15.55727419,.00059416,53.0469,268.6094,157.1801,71.6010,0,U,46167,999,587,.24997539E-2,.178851E-2,0
STARLINK-1627,2020-057BD,2026-03-15T00:00:02.000160,15.73389038,.00041432,53.0416,198.4188,34.9698,118.7377,0,U,46168,999,602,.62186218E-3,.88339E-3,0
STARLINK-1633,2020-057BG,2026-03-15T00:00:02.000160,15.60633239,.00044861,53.0415,233.2224,318.3722,301.6426,0,U,46171,999,593,.16033811E-2,.137071E-2,0
STARLINK-1635,2020-057BH,2026-03-14T22:00:01.999584,15.62055473,.0004744,53.0428,232.1088,5.1194,118.8982,0,U,46172,999,598,.23031165E-2,.21016E-2,0
STARLINK-1640,2020-057BJ,2026-03-14T22:00:01.999584,15.55080776,.00071362,53.0498,273.8483,163.5480,183.7361,0,U,46173,999,595,.21118275E-2,.146912E-2,0
STARLINK-1641,2020-057BK,2026-03-14T16:17:56.992704,15.50769709,.00004404,53.0488,261.0231,281.4581,78.6378,0,U,46174,999,30728,.90039363E-3,.52636E-3,0
GAOFEN-9 05,2020-058A,2026-03-14T23:17:49.865856,15.30380240,.00104123,97.2231,116.7974,76.8702,283.3701,0,U,46232,999,30919,.17356816E-3,.5033E-4,0
SAOCOM 1B,2020-059A,2026-03-14T01:04:39.385920,14.82151938,.00013837,97.8899,260.2532,84.3427,275.7944,0,U,46265,999,29939,.26755151E-4,.161E-5,0
GNOMES-1,2020-059B,2026-03-14T13:01:30.090432,14.99888082,.00052029,97.8061,283.7936,338.6844,21.4161,0,U,46266,999,30140,.32837646E-3,.4012E-4,0
TYVAK-0172,2020-059C,2026-03-14T17:11:00.670272,15.74350460,.00034553,97.7223,316.6943,77.4926,282.6724,0,U,46267,999,30391,.28056768E-2,.424353E-2,0
ION-MK01,2020-061C,2026-03-14T17:01:55.107840,15.89916845,.00027482,97.1966,152.8938,232.6485,127.4538,0,U,46274,999,30844,.86658779E-3,.25597E-2,.25819826E-4
ATHENA,2020-061D,2026-03-14T15:59:12.535584,15.46341937,.00017007,97.2025,138.4684,77.4832,282.6608,0,U,46275,999,30753,.41146054E-3,.20245E-3,0
NEMO-HD,2020-061F,2026-03-14T22:32:26.390976,15.42638833,.0002159,97.2040,136.9264,72.8061,287.3423,0,U,46277,999,30744,.31909805E-3,.13818E-3,0
GHGSAT-C1,2020-061G,2026-03-14T21:51:07.242336,15.64941815,.00017785,97.2158,156.3877,68.4539,291.6910,0,U,46278,999,30870,.40506283E-3,.39631E-3,0
NAPA-1,2020-061BA,2026-03-14T22:58:46.190784,15.57595664,.0000994,97.2579,145.7737,129.2652,230.8692,0,U,46320,999,30702,.74950754E-3,.55488E-3,0
STARLINK-1654,2020-062B,2026-03-14T22:36:30.611808,15.70134326,.00036524,53.0432,307.6969,335.9967,24.0879,0,U,46326,999,30574,.10369742E-2,.129323E-2,0
STARLINK-1686,2020-062D,2026-03-14T22:00:01.999584,15.71782078,.00062149,53.0417,288.5675,295.9602,137.3077,0,U,46328,999,600,.43937682E-3,.57912E-3,0
STARLINK-1695,2020-062E,2026-03-14T22:25:59.685312,15.55418916,.00052498,53.0496,311.2427,154.3295,205.7977,0,U,46329,999,30568,.15302117E-2,.107066E-2,0
STARLINK-1719,2020-062G,2026-03-14T22:23:46.237056,15.58961220,.00038614,53.0451,313.2996,294.4788,65.5821,0,U,46331,999,30566,.11078986E-2,.88144E-3,0
STARLINK-1727,2020-062L,2026-03-14T22:04:56.322912,15.70149723,.00040532,53.0434,310.3653,323.1369,36.9368,0,U,46335,999,30570,.12161415E-2,.152299E-2,0
STARLINK-1752,2020-062P,2026-03-14T22:00:01.999584,15.97062463,.00057502,53.0355,300.2129,255.1240,116.2432,0,U,46338,999,599,.12837993E-2,.569148E-2,.14788846E-3
STARLINK-1759,2020-062R,2026-03-14T22:00:01.999584,15.60763606,.0002071,53.0232,305.2507,104.1271,117.1164,0,U,46340,999,576,.16889489E-2,.145251E-2,0
STARLINK-1762,2020-062T,2026-03-14T21:31:58.916352,15.30208731,.00009793,53.1605,346.7931,63.4845,296.6256,0,U,46342,999,30519,.98839745E-4,.257E-4,0
STARLINK-1764,2020-062U,2026-03-14T21:12:27.364320,15.67860110,.00014099,53.0426,291.4927,298.8839,61.2035,0,U,46343,999,30596,.10522996E-2,.119302E-2,0
STARLINK-1765,2020-062V,2026-03-14T22:00:01.999584,15.91740201,.00051317,53.0361,274.9786,240.9813,82.8320,0,U,46344,999,598,.13241256E-2,.441021E-2,.85717834E-4
STARLINK-1547,2020-062Y,2026-03-14T16:36:03.451968,15.65224536,.00039031,53.0356,254.2810,183.5167,176.5821,0,U,46347,999,30645,.1151089E-2,.117358E-2,0
STARLINK-1553,2020-062Z,2026-03-14T21:32:35.443680,15.36907644,.00047596,53.0388,282.3976,159.7388,200.3804,0,U,46348,999,30609,.69506315E-3,.25154E-3,0
STARLINK-1575,2020-062AA,2026-03-14T22:00:01.999584,15.86585012,.0005624,53.0249,236.2497,219.2325,205.0203,0,U,46349,999,587,.16190561E-2,.44024E-2,0
STARLINK-1646,2020-062AC,2026-03-14T22:00:01.999584,15.56698023,.00053892,53.0464,309.9543,158.6765,19.2869,0,U,46351,999,575,.1552644E-2,.114028E-2,0
STARLINK-1653,2020-062AD,2026-03-14T22:00:01.999584,15.60559143,.00066804,53.0446,296.9843,268.2377,137.0753,0,U,46352,999,597,.14950437E-2,.127321E-2,0
STARLINK-1656,2020-062AE,2026-03-14T22:38:25.658592,15.53235035,.00031031,53.0499,334.2317,174.2366,185.8680,0,U,46353,999,30536,.15600426E-2,.100656E-2,0
STARLINK-1657,2020-062AF,2026-03-14T22:00:01.999584,15.86435160,.00057748,53.0438,302.7140,267.9545,117.8319,0,U,46354,999,603,.96232563E-3,.254042E-2,0
STARLINK-1661,2020-062AG,2026-03-14T11:57:03.368160,15.30201519,.00013339,53.1633,348.6493,83.0555,277.0598,0,U,46355,999,30513,.65384942E-4,.1578E-4,0
STARLINK-1665,2020-062AH,2026-03-14T22:40:26.625504,15.65030699,.00023532,53.0433,311.0875,289.3345,70.7415,0,U,46356,999,30569,.10532042E-2,.106338E-2,0
STARLINK-1666,2020-062AJ,2026-03-14T22:00:01.999584,15.59461759,.0005623,53.0473,308.9465,156.0374,67.2216,0,U,46357,999,597,.14392358E-2,.117327E-2,0
STARLINK-1707,2020-062AL,2026-03-14T16:27:50.851872,15.65693714,.0003818,53.0244,249.9329,171.3426,188.7655,0,U,46359,999,30652,.11945192E-2,.124222E-2,0
STARLINK-1726,2020-062AP,2026-03-14T22:03:47.981376,16.03106872,.0006241,53.0320,233.1792,276.6063,83.4257,0,U,46362,999,30678,.14139E-2,.885583E-2,.40242E-3
STARLINK-1724,2020-062BC,2026-03-14T21:34:36.848640,15.54213387,.00021843,53.0291,262.0917,302.6081,57.4718,0,U,46375,999,30637,.20118936E-2,.135249E-2,0
STARLINK-1742,2020-062BD,2026-03-14T22:00:01.999584,15.84904329,.00049874,53.0243,229.4033,181.5995,37.3505,0,U,46376,999,602,.15184636E-2,.377834E-2,0
STARLINK-1770,2020-062BL,2026-03-14T21:46:32.212128,15.65165378,.00023975,53.0415,290.1066,265.0345,95.0396,0,U,46383,999,30598,.64925994E-3,.65364E-3,0
STARLINK-1771,2020-062BM,2026-03-14T21:20:03.914880,15.47311771,.00026341,53.0424,321.1218,270.7075,89.3630,0,U,46384,999,30554,.13700193E-2,.71286E-3,0
GAOFEN-11 02,2020-064A,2026-03-14T22:39:10.576224,15.23806142,.00155051,97.4983,199.9314,275.6163,84.3306,0,U,46396,999,30718,.38617472E-3,.9261E-4,0
JILIN-1 GAOFEN 3B,2020-065A,2026-03-14T21:34:23.588832,15.81905019,.00030411,97.2363,131.7136,147.3381,212.8077,0,U,46454,999,30554,.11815221E-2,.244568E-2,0
JILIN-1 GAOFEN 3E,2020-065D,2026-03-14T21:58:47.447616,15.54291192,.00152846,97.2422,124.9537,147.1742,213.0465,0,U,46457,999,30507,.80211365E-3,.5283E-3,0
JILIN-1 GAOFEN 3F,2020-065E,2026-03-14T22:37:51.131424,15.52675174,.00167931,97.2378,122.6745,136.4571,223.8012,0,U,46458,999,30504,.72880139E-3,.4527E-3,0
JILIN-1 GAOFEN 3G,2020-065F,2026-03-14T22:03:59.154624,15.58527576,.00125398,97.2454,128.2647,49.5503,310.6844,0,U,46459,999,30520,.82949528E-3,.63886E-3,0
JILIN-1 GAOFEN 3H,2020-065G,2026-03-14T22:35:43.052928,15.56908282,.00062988,97.2400,125.0264,342.4949,17.6088,0,U,46460,999,30517,.77203781E-3,.55762E-3,0
JILIN-1 GAOFEN 3I,2020-065H,2026-03-14T22:40:19.889760,15.71241293,.00096222,97.2416,131.0404,75.8848,284.3484,0,U,46461,999,30542,.10101344E-2,.129546E-2,0
JILIN-1 GAOFEN 3J,2020-065J,2026-03-14T21:20:28.966560,15.77192071,.00037613,97.2392,130.9960,129.2997,230.8603,0,U,46462,999,30549,.11536674E-2,.191967E-2,0
HAIYANG-2C,2020-066A,2026-03-14T23:10:35.247936,13.83376692,.00124794,65.9960,89.8759,249.1663,110.8069,0,U,46469,999,27646,.40394826E-3,.364E-5,0
HJ-2A,2020-067A,2026-03-14T23:15:45.008352,14.76569147,.00029953,97.8869,154.5526,177.2677,182.8550,0,U,46478,999,29435,.94016615E-4,.606E-5,0
HJ-2B,2020-067B,2026-03-14T22:30:52.260768,14.76559235,.00019117,97.8929,155.4723,85.0526,275.0902,0,U,46479,999,29435,.14279215E-3,.946E-5,0
GONETS-M 17,2020-068A,2026-03-14T22:42:21.341376,12.42869711,.00212936,82.4968,46.1188,240.3704,119.5255,0,U,46486,999,24745,.51475248E-3,.81E-6,0
GONETS-M 18,2020-068B,2026-03-14T21:49:58.810080,12.42869367,.00186042,82.4923,45.2950,236.5032,123.4270,0,U,46487,999,24743,.78477049E-3,.118E-5,0
GONETS-M 19,2020-068C,2026-03-14T23:12:41.009184,12.42889004,.00122856,82.4947,45.6925,252.5078,107.4659,0,U,46488,999,24754,.44717007E-3,.72E-6,0
DEKART,2020-068H,2026-03-14T22:54:23.914080,15.35028226,.00073751,97.8775,76.6333,255.7760,104.2663,0,U,46493,999,30130,.51233879E-3,.17357E-3,0
NORBI,2020-068J,2026-03-15T00:11:36.684672,15.44337865,.00054927,97.8691,81.9519,223.4876,136.5938,0,U,46494,999,30165,.58993272E-3,.27173E-3,0
SALSAT,2020-068K,2026-03-14T21:52:03.832608,15.28301739,.00080461,97.8858,71.3452,274.1510,85.8809,0,U,46495,999,30095,.41163805E-3,.11282E-3,0
ICEYE-X7,2020-068L,2026-03-14T22:13:35.020128,15.29311785,.00062996,97.7409,36.3809,311.3319,48.7377,0,U,46496,999,30037,.59240854E-3,.16792E-3,0
ICEYE-X6,2020-068M,2026-03-14T22:23:55.151808,15.03938902,.00084812,98.0929,63.1595,52.9159,307.2839,0,U,46497,999,29906,.26640313E-3,.361E-4,0
NETSAT-4,2020-068U,2026-03-14T22:00:52.871040,15.40612969,.00038748,97.8638,74.8112,313.4034,46.6888,0,U,46504,999,30124,.58164551E-3,.23636E-3,0
NETSAT-3,2020-068V,2026-03-14T21:53:35.094336,15.39288096,.00042508,97.8675,73.1554,338.1844,21.9218,0,U,46505,999,30116,.62936641E-3,.24497E-3,0
NETSAT-1,2020-068W,2026-03-14T21:50:11.313024,15.32222344,.00049783,97.8747,68.5339,3.2172,356.9099,0,U,46506,999,30085,.62034547E-3,.19249E-3,0
NETSAT-2,2020-068X,2026-03-14T22:21:12.094272,15.41870950,.00035553,97.8650,74.4420,6.5358,353.5933,0,U,46507,999,30119,.67659738E-3,.28699E-3,0
STARLINK-1648,2020-070B,2026-03-14T22:00:01.999584,15.95337778,.00059938,53.0412,99.1596,2.3837,176.8754,0,U,46533,999,598,.14761475E-2,.595702E-2,.15817032E-3
STARLINK-1663,2020-070D,2026-03-14T19:38:21.130368,15.66199840,.00012452,53.0423,110.1310,97.6468,262.4688,0,U,46535,999,30088,.92574304E-3,.97783E-3,0
STARLINK-1672,2020-070F,2026-03-14T19:20:09.283200,15.52761373,.00043401,53.0483,114.1477,69.5371,290.6103,0,U,46537,999,30083,.94167432E-3,.59233E-3,0
STARLINK-1678,2020-070G,2026-03-14T17:37:23.170944,15.64605587,.00016171,53.0427,86.9406,38.5618,321.5512,0,U,46538,999,30120,.1105659E-2,.109827E-2,0
STARLINK-1664,2020-070X,2026-03-14T19:04:03.663840,15.39282407,.00018486,53.0477,108.7808,357.4078,2.6915,0,U,46553,999,30090,.21958497E-2,.87477E-3,0
STARLINK-1676,2020-070AA,2026-03-14T22:00:01.999584,15.52554249,.00020301,53.0453,119.9055,43.0225,353.1380,0,U,46556,999,580,.20410581E-2,.129086E-2,0
STARLINK-1679,2020-070AB,2026-03-14T22:00:01.999584,15.59383293,.0002015,53.0463,98.7567,274.4444,129.3413,0,U,46557,999,592,.21527405E-2,.176434E-2,0
STARLINK-1680,2020-070AC,2026-03-14T22:00:01.999584,15.78072458,.000752,53.0394,83.3865,34.3870,53.2815,0,U,46558,999,606,.1288745E-2,.229731E-2,0
STARLINK-1681,2020-070AD,2026-03-14T22:00:01.999584,15.79726048,.00075383,53.0475,48.2003,36.7471,192.3609,0,U,46559,999,596,.1245927E-2,.239601E-2,0
STARLINK-1714,2020-070AG,2026-03-14T18:09:27.623808,15.51803943,.00012626,53.0448,91.8545,279.8661,80.2205,0,U,46562,999,30114,.19049557E-2,.117053E-2,0
STARLINK-1730,2020-070AH,2026-03-14T18:22:00.969600,15.44762534,.00036075,53.0298,98.2474,3.6133,356.4898,0,U,46563,999,30105,.20460956E-2,.98059E-3,0
STARLINK-1733,2020-070AJ,2026-03-14T22:00:01.999584,15.75613070,.00020424,53.0408,81.3578,27.2257,51.5612,0,U,46564,999,606,.60974746E-3,.95458E-3,0
STARLINK-1735,2020-070AK,2026-03-14T22:00:01.999584,15.63239416,.00035398,53.0419,93.3415,197.8596,78.2684,0,U,46565,999,587,.20700179E-2,.197427E-2,0
STARLINK-1741,2020-070AM,2026-03-14T22:00:01.999584,15.64817446,.00020222,53.0418,92.1699,166.5522,259.9629,0,U,46567,999,599,.11831752E-2,.118694E-2,0
STARLINK-1531,2020-070AS,2026-03-14T22:00:01.999584,15.64800433,.00068183,53.0539,113.9391,286.1837,126.6691,0,U,46572,999,602,.18855501E-2,.191207E-2,0
STARLINK-1677,2020-070AW,2026-03-14T21:55:28.247232,15.67072128,.00023963,53.0376,98.6051,73.9847,286.1432,0,U,46576,999,30106,.10574696E-2,.116061E-2,0
STARLINK-1683,2020-070AY,2026-03-14T22:00:01.999584,15.83116075,.00060856,53.0095,45.1464,46.6979,52.8810,0,U,46578,999,592,.13456936E-2,.30502E-2,0
STARLINK-1712,2020-070BB,2026-03-15T03:09:05.740416,16.17437127,.0001075,53.0220,51.7636,63.8722,296.2425,0,U,46581,999,30173,.13257E-2,.199131E-1,.4406E-2
STARLINK-1728,2020-070BC,2026-03-14T19:21:12.897792,15.53960681,.00024746,53.0417,100.7175,194.9327,165.1610,0,U,46582,999,30102,.18880538E-2,.125575E-2,0
STARLINK-1736,2020-070BF,2026-03-14T22:00:01.999584,15.67884770,.00014794,53.0416,90.2381,90.4586,348.2988,0,U,46585,999,595,.10080357E-2,.114305E-2,0
STARLINK-1746,2020-070BJ,2026-03-14T22:00:01.999584,15.74045961,.00022215,53.0403,89.0301,104.6645,21.1227,0,U,46588,999,600,.92527017E-3,.136269E-2,0
GAOFEN-13 01,2020-071A,2026-03-14T22:45:53.570016,1.00269240,.00428563,0.2759,85.5387,119.7937,66.9362,0,U,46610,999,1997,0,-.363E-5,0
STARLINK-1716,2020-073C,2026-03-14T15:49:41.858400,15.65623999,.00077282,53.0448,176.7558,354.6691,5.4240,0,U,46672,999,29848,.1240647E-2,.128884E-2,0
STARLINK-1718,2020-073E,2026-03-14T22:00:01.999584,15.56688798,.0004814,53.0486,202.6623,312.3944,150.2454,0,U,46674,999,596,.17932476E-2,.132013E-2,0
STARLINK-1775,2020-073M,2026-03-14T22:00:01.999584,15.79516175,.00020394,53.0431,184.2813,16.6417,192.0423,0,U,46681,999,601,.8873682E-3,.167168E-2,0
STARLINK-1781,2020-073R,2026-03-14T21:42:39.307968,15.56627284,.00034687,53.0505,218.0669,315.8269,44.2465,0,U,46685,999,29791,.15696624E-2,.114957E-2,0
STARLINK-1784,2020-073T,2026-03-14T22:00:01.999584,15.63416946,.00051513,53.0430,161.1675,320.1177,237.1971,0,U,46687,999,577,.11627089E-2,.11027E-2,0
STARLINK-1788,2020-073V,2026-03-14T22:00:01.999584,15.64079598,.00022165,53.0413,192.9206,3.4514,237.3180,0,U,46689,999,582,.13970978E-2,.136506E-2,0
STARLINK-1790,2020-073X,2026-03-14T22:00:01.999584,15.74884171,.00012497,53.0409,172.5606,170.4716,221.9127,0,U,46691,999,595,.54869095E-3,.83009E-3,0
STARLINK-1795,2020-073AC,2026-03-14T22:10:27.686784,15.68213131,.00026967,53.0412,155.0681,64.8890,295.2405,0,U,46696,999,29880,.10816369E-2,.12452E-2,0
STARLINK-1797,2020-073AE,2026-03-14T13:46:52.783392,15.55803241,.0004188,53.0450,185.1837,52.4153,307.7237,0,U,46698,999,29835,.1869262E-2,.133183E-2,0
STARLINK-1799,2020-073AF,2026-03-14T22:00:01.999584,15.78299354,.00051477,53.0425,169.2917,281.3550,90.1201,0,U,46699,999,580,.78175305E-3,.138915E-2,0
STARLINK-1800,2020-073AG,2026-03-14T22:00:01.999584,15.82063302,.00065125,53.0387,183.0940,333.7783,246.2501,0,U,46700,999,602,.84334485E-3,.179092E-2,0
STARLINK-1801,2020-073AH,2026-03-14T22:00:01.999584,15.73131167,.00052409,53.0450,172.0550,245.1124,355.2023,0,U,46701,999,580,.48001235E-3,.67142E-3,0
STARLINK-1802,2020-073AJ,2026-03-14T17:42:22.272192,15.30203139,.00013519,53.1601,193.6116,83.1705,276.9449,0,U,46702,999,29825,.23468306E-3,.6598E-4,0
STARLINK-1805,2020-073AM,2026-03-14T17:19:17.185152,15.52963748,.00031678,53.0504,219.3569,279.0502,81.0149,0,U,46705,999,29788,.19200085E-2,.123129E-2,0
STARLINK-1807,2020-073AN,2026-03-14T18:21:08.206848,15.24199933,.00034145,53.0610,204.9794,186.4424,173.6530,0,U,46706,999,29809,.23726719E-2,.58703E-3,0
STARLINK-1810,2020-073AR,2026-03-14T22:00:01.999584,15.47921902,.00022818,53.0461,206.9950,209.5913,96.4932,0,U,46709,999,589,.19374079E-2,.103589E-2,0
STARLINK-1814,2020-073AU,2026-03-14T22:26:19.445856,16.00662783,.00106344,53.0348,157.7658,0.9768,359.1281,0,U,46712,999,29876,.1212311E-2,.661819E-2,.21006136E-3
STARLINK-1815,2020-073AV,2026-03-14T13:05:33.202752,15.69528911,.00049908,53.0442,178.2903,1.1482,358.9545,0,U,46713,999,29844,.11327578E-2,.137988E-2,0
STARLINK-1816,2020-073AW,2026-03-14T22:00:01.999584,15.75329742,.00007415,53.0400,172.6943,48.8936,7.0423,0,U,46714,999,590,.27183231E-3,.41403E-3,0
STARLINK-1817,2020-073AX,2026-03-14T22:00:01.999584,15.62957218,.00045153,53.0468,191.7611,286.2985,251.1561,0,U,46715,999,587,.13490279E-2,.125961E-2,0
STARLINK-1820,2020-073AZ,2026-03-14T22:00:01.999584,15.91244303,.00067911,53.0388,135.8025,0.0168,88.2922,0,U,46717,999,608,.13581943E-2,.441331E-2,.85358159E-4
STARLINK-1821,2020-073BA,2026-03-14T17:34:18.535872,15.38877295,.00024415,53.0468,202.7974,194.4980,165.5953,0,U,46718,999,29812,.16368725E-2,.64049E-3,0
STARLINK-1826,2020-073BF,2026-03-14T22:00:01.999584,15.61469914,.0004203,53.0476,154.9825,239.0870,313.7349,0,U,46723,999,592,.11968443E-2,.105118E-2,0
STARLINK-1828,2020-073BH,2026-03-14T22:00:01.999584,15.54586095,.00023337,53.0520,211.1945,25.9440,196.8751,0,U,46725,999,595,.18189551E-2,.12373E-2,0
STARLINK-1830,2020-073BK,2026-03-14T15:11:56.554944,15.56352814,.00026932,53.0443,159.4607,26.6526,333.4623,0,U,46727,999,29872,.17189245E-2,.124801E-2,0
STARLINK-1892,2020-074E,2026-03-14T19:48:06.943104,15.51657840,.00037484,53.0470,268.8349,114.4387,245.7013,0,U,46743,999,29787,.19765423E-2,.120913E-2,0
STARLINK-1894,2020-074F,2026-03-14T22:00:01.999584,15.83060800,.0004373,53.0410,251.4527,310.4357,277.1282,0,U,46744,999,596,.13776452E-2,.311539E-2,0
STARLINK-1905,2020-074H,2026-03-14T22:00:01.999584,15.64746322,.00021186,53.0445,258.0534,323.4342,170.3111,0,U,46746,999,588,.12336931E-2,.123509E-2,0
STARLINK-1911,2020-074L,2026-03-14T22:00:01.999584,15.73363706,.00016199,53.0454,252.5177,1.3990,30.4635,0,U,46749,999,605,.11623899E-2,.166996E-2,0
STARLINK-1922,2020-074Q,2026-03-14T19:19:42.514752,15.65318095,.0002034,53.0453,258.6450,5.5776,354.5260,0,U,46753,999,29801,.11742877E-2,.120199E-2,0
STARLINK-1928,2020-074V,2026-03-14T19:23:10.369824,15.67834177,.0002983,53.0431,259.4256,46.5962,313.5302,0,U,46758,999,29800,.10855576E-2,.12303E-2,0
STARLINK-1832,2020-074AT,2026-03-14T22:00:01.999584,15.78337311,.00014904,53.0392,241.4391,165.9862,332.0192,0,U,46780,999,606,.14892831E-2,.26967E-2,0
STARLINK-1835,2020-074AV,2026-03-14T22:00:01.999584,15.59727570,.00059707,53.0452,249.3981,16.4354,197.0647,0,U,46782,999,586,.21222518E-2,.176316E-2,0
STARLINK-1882,2020-074AX,2026-03-14T22:00:01.999584,15.63650421,.00043404,53.0515,249.2877,164.0594,74.6948,0,U,46784,999,603,.22178601E-2,.215514E-2,0
